step,klcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,collisions_human,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,raw_reward_mean,raw_reward_sum,reward_mean,reward_sum,n_veh_step_mean,n_veh_step_sum,n_veh_unique,policy_loss,kl,entropy,gd_time,total_time
69,0,0.001,8.84478,2000,3.25497,3.12255,3.40243,3.27961,539,499,1940.4,1796.4,6,6,1416.69,12.407,49.9215,700,700,0.2345,469,0.00283927,5.67854,5.8825,11765,81,-0.695153,1.95919e-10,0.260189,0.050643,661.804
70,0,0.001,8.3251,2000,3.53683,3.37286,3.61052,3.56727,539,507,1940.4,1825.2,2,2,1433.79,18.7895,53.535,700,700,0.2485,497,0.00620211,12.4042,5.4385,10877,82,-0.749145,7.40035e-10,0.283049,0.0485163,670.429
71,0,0.001,8.25887,2000,3.57299,3.42587,3.62631,3.60019,542,509,1951.2,1832.4,4,4,1399.21,11.2025,45.701,700,700,0.2445,489,0.00514159,10.2832,5.3815,10763,83,-0.754838,-1.32986e-10,0.295259,0.0482991,678.966
72,0,0.001,8.87014,2000,3.33097,3.18361,3.48204,3.3583,543,506,1954.8,1821.6,6,6,1391.43,17.205,54.384,700,700,0.238,476,0.00348663,6.97327,5.8135,11627,84,-0.72187,9.0784e-11,0.295164,0.0538502,688.115
73,0,0.001,8.72895,2000,3.54541,3.3634,3.59172,3.57927,545,517,1962,1861.2,0,0,1427.12,14.679,50.0345,700,700,0.2585,517,0.00836674,16.7335,5.5445,11089,85,-0.795229,-9.29166e-10,0.285131,0.051904,697.117
74,0,0.001,8.72195,2000,3.28911,3.16488,3.50409,3.31201,533,495,1918.8,1782,8,8,1399.17,22.3685,59.0705,700,700,0.2275,455,0.000768241,1.53648,5.7095,11419,82,-0.635818,-2.71358e-10,0.292694,0.0495691,706.113
75,0,0.001,8.09096,2000,3.73464,3.52746,3.70799,3.77331,549,518,1976.4,1864.8,2,2,1429.03,10.7515,44.316,700,700,0.254,508,0.00708682,14.1736,5.2775,10555,84,-0.817734,-4.81096e-11,0.316101,0.0475149,714.475
76,0,0.001,9.07429,2000,3.12449,3.00669,3.42136,3.14605,524,492,1886.4,1771.2,2,2,1427.68,21.729,60.1105,700,700,0.241,482,0.00393537,7.87075,5.9365,11873,81,-0.502741,-5.35039e-10,0.311763,0.0533571,723.833
77,0,0.001,8.34344,2000,3.55035,3.36356,3.58293,3.58535,544,507,1958.4,1825.2,4,4,1405.79,13.8445,48.717,700,700,0.2435,487,0.00446703,8.93405,5.5005,11001,82,-0.731631,-3.29365e-10,0.331976,0.053287,732.457
78,0,0.001,8.9979,2000,3.32959,3.17336,3.51748,3.35856,532,497,1915.2,1789.2,4,4,1333.15,21.7115,58.0385,700,700,0.2385,477,0.00323278,6.46557,5.6795,11359,82,-0.561706,6.50518e-10,0.337969,0.0506868,741.736
79,0,0.001,8.7658,2000,3.34734,3.17292,3.41388,3.37951,542,509,1951.2,1832.4,0,0,1429.67,16.462,53.7015,700,700,0.2545,509,0.00701781,14.0356,5.796,11592,81,-0.735216,-3.7987e-10,0.317107,0.0532248,750.781
80,0,0.001,8.76666,2000,3.27121,3.12806,3.48135,3.2976,529,500,1904.4,1800,0,0,1441.41,22.953,60.1155,700,700,0.25,500,0.00588333,11.7667,5.7825,11565,81,-0.583541,2.53307e-11,0.295215,0.050914,759.844
81,0,0.001,8.58396,2000,3.42727,3.27137,3.52779,3.45617,548,512,1972.8,1843.2,2,2,1319.88,12.8885,49.33,700,700,0.251,502,0.00607587,12.1517,5.6965,11393,84,-0.756772,-2.53887e-10,0.285545,0.0515859,768.717
82,0,0.001,8.87972,2000,3.28075,3.14615,3.47541,3.30546,536,503,1929.6,1810.8,2,2,1382.24,20.65,58.0785,700,700,0.2465,493,0.00494035,9.88069,5.8035,11607,83,-0.637704,1.09777e-09,0.27276,0.0510128,777.885
83,0,0.001,8.68167,2000,3.42521,3.2556,3.51997,3.45657,550,516,1980,1857.6,0,0,1325.51,13.804,50.477,700,700,0.258,516,0.00768137,15.3627,5.722,11444,84,-0.77475,-4.72189e-10,0.271586,0.0507298,786.852
84,0,0.001,9.07392,2000,3.17207,3.03073,3.33317,3.19804,539,510,1940.4,1836,2,2,1521.85,14.4815,53.416,700,700,0.25,500,0.00567621,11.3524,6.0425,12085,84,-0.712022,3.39726e-11,0.24263,0.055166,796.238
85,0,0.001,8.76785,2000,3.37309,3.23005,3.5607,3.39949,534,501,1922.4,1803.6,4,4,1412.84,19.455,55.5135,700,700,0.2405,481,0.00330123,6.60247,5.617,11234,82,-0.587737,5.81637e-10,0.265654,0.0520201,805.286
86,0,0.001,9.25423,2000,3.11654,3.0046,3.33874,3.13721,544,502,1958.4,1807.2,4,4,1320.56,13.38,52.935,700,700,0.241,482,0.0033745,6.749,6.161,12322,83,-0.630346,-6.62788e-10,0.254986,0.0547459,814.822
87,0,0.001,8.31403,2000,3.46597,3.30912,3.58022,3.49482,535,504,1926,1814.4,2,2,1434.33,14.376,49.606,700,700,0.247,494,0.00480228,9.60456,5.4705,10941,82,-0.586754,8.7806e-10,0.271983,0.0530341,823.415
88,0,0.001,8.52864,2000,3.33778,3.20202,3.55387,3.3628,530,498,1908,1792.8,4,4,1417.39,16.7675,53.047,700,700,0.239,478,0.0027966,5.5932,5.6435,11287,82,-0.528125,7.76243e-10,0.256006,0.052597,832.221
89,0,0.001,8.69896,2000,3.48566,3.31629,3.49717,3.51708,562,533,2023.2,1918.8,0,0,1484.06,6.482,43.5825,700,700,0.2665,533,0.00950539,19.0108,5.805,11610,87,-0.977888,6.85905e-10,0.291033,0.051573,841.209
90,0,0.001,8.64568,2000,3.40914,3.24471,3.51936,3.43971,551,519,1983.6,1868.4,2,2,1461.53,9.322,46.268,700,700,0.2545,509,0.00649334,12.9867,5.7895,11579,86,-0.771454,3.30806e-10,0.270393,0.0528169,850.165
91,0,0.001,8.83869,2000,3.48647,3.33331,3.56163,3.51475,547,513,1969.2,1846.8,2,2,1361.57,11.9215,47.923,700,700,0.2515,503,0.00569898,11.398,5.6085,11217,83,-0.695283,-7.45392e-10,0.255562,0.0524809,859.288
92,0,0.001,8.40223,2000,3.32497,3.17997,3.53079,3.35143,520,487,1872,1753.2,0,0,1289.76,23.972,59.7065,700,700,0.2435,487,0.00367119,7.34238,5.511,11022,78,-0.333157,5.64149e-10,0.235249,0.0527089,867.986
93,0,0.001,9.15039,2000,3.3508,3.2207,3.47728,3.37467,542,504,1951.2,1814.4,4,4,1343.4,13.8915,50.7665,700,700,0.242,484,0.00326398,6.52795,5.715,11430,83,-0.608053,1.10285e-09,0.230573,0.0549841,877.434
94,0,0.001,9.44641,2000,3.24594,3.11375,3.4024,3.27021,543,508,1954.8,1828.8,2,2,1344.79,15.041,53.313,700,700,0.249,498,0.00497689,9.95377,5.934,11868,83,-0.637081,-9.90209e-11,0.22356,0.052804,887.174
95,0,0.001,8.74398,2000,3.27375,3.17285,3.4681,3.29212,536,504,1929.6,1814.4,4,4,1441.08,15.177,52.6015,700,700,0.242,484,0.00319183,6.38365,5.764,11528,83,-0.569638,1.02936e-10,0.220881,0.05426,896.211
96,0,0.001,9.29743,2000,3.08154,2.97648,3.31292,3.10073,542,508,1951.2,1828.8,0,0,1346.74,14.5095,54.791,700,700,0.254,508,0.00614734,12.2947,6.22,12440,83,-0.620844,-5.99168e-10,0.218607,0.0549798,905.797
97,0,0.001,8.91607,2000,3.43185,3.29512,3.47625,3.45717,548,513,1972.8,1846.8,6,6,1448.1,9.394,45.9705,700,700,0.2415,483,0.00295493,5.90986,5.7115,11423,84,-0.694147,-9.61691e-12,0.214135,0.0518701,914.998
98,0,0.001,9.18299,2000,3.18359,3.03456,3.35352,3.21093,546,507,1965.6,1825.2,2,2,1320.68,14.9665,53.9815,700,700,0.2485,497,0.00468548,9.37096,6.046,12092,82,-0.656039,-4.49195e-10,0.196824,0.0531449,924.483
99,0,0.001,9.19953,2000,3.06528,2.97016,3.33419,3.08265,531,494,1911.6,1778.4,2,2,1288.98,15.1545,54.63,700,700,0.242,484,0.00302152,6.04305,6.093,12186,83,-0.382442,2.84701e-10,0.203271,0.0520809,933.97
100,0,0.001,9.17365,2000,3.07569,2.96726,3.32287,3.09543,537,499,1933.2,1796.4,2,2,1325.86,13.0605,52.8235,700,700,0.2445,489,0.00362211,7.24422,6.1235,12247,82,-0.511242,-5.42844e-10,0.197917,0.0540533,943.468
101,0,0.001,8.3777,2000,3.59359,3.41742,3.63412,3.62614,555,522,1998,1879.2,2,2,1436.12,10.973,46.4675,700,700,0.256,512,0.00647091,12.9418,5.531,11062,83,-0.80795,-2.8724e-10,0.214957,0.0536618,952.132
