step,klcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,collisions_human,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,raw_reward_mean,raw_reward_sum,reward_mean,reward_sum,n_veh_step_mean,n_veh_step_sum,n_veh_unique,policy_loss,kl,entropy,gd_time,total_time
86,0,0.001,7.01402,2000,4.18336,3.65324,3.31948,4.29151,526,497,1893.6,1789.2,8,7,1636.88,25.1735,53.8,700,700,0.2285,457,0.00329412,6.58824,4.8485,9697,79,-0.440245,-3.41419e-10,0.949049,0.047019,736.815
87,0,0.001,8.32713,2000,3.31766,3.03507,2.955,3.37247,521,491,1875.6,1767.6,0,0,1395.96,28.0195,63.866,700,700,0.2455,491,0.00680367,13.6073,5.8205,11641,81,-0.668643,8.06303e-10,0.958271,0.0501869,745.413
88,0,0.001,7.99269,2000,3.45444,3.15605,3.09564,3.51214,520,479,1872,1724.4,12,9,1451.91,22.008,56.1805,700,700,0.2095,419,-0.000756164,-1.51233,5.535,11070,81,-0.268419,-1.29454e-10,0.943146,0.052341,753.677
89,0,0.001,8.07803,2000,3.43159,3.0627,3.04042,3.50518,510,483,1836,1738.8,0,0,1484.7,32.657,66.7705,700,700,0.2415,483,0.00591028,11.8206,5.6715,11343,78,-0.57045,-7.71532e-10,0.973122,0.049578,762.02
90,0,0.001,8.14146,2000,3.32449,3.01414,3.053,3.38579,500,472,1800,1699.2,10,9,1970.64,36.4075,70.7145,700,700,0.211,422,-0.000518087,-1.03617,5.6575,11315,77,-0.177363,-3.56848e-10,0.970018,0.0509341,770.439
91,0,0.001,8.58387,2000,3.23209,2.91017,2.92877,3.29583,503,471,1810.8,1695.6,4,4,1435.79,29.441,64.9675,700,700,0.2255,451,0.0025138,5.02761,5.869,11738,78,-0.444421,7.92197e-10,0.983408,0.0496671,779.293
92,0,0.001,8.2563,2000,3.38922,3.072,3.03733,3.4515,518,488,1864.8,1756.8,2,2,1479.5,24.483,59.477,700,700,0.239,478,0.00531093,10.6219,5.741,11482,81,-0.621828,-2.44169e-10,0.965112,0.0510619,787.815
93,0,0.001,7.39064,2000,3.88533,3.48076,3.20216,3.96583,525,495,1890,1782,6,6,1609.02,25.503,56.2665,700,700,0.2325,465,0.0039094,7.8188,5.103,10206,79,-0.661016,2.9849e-10,0.958023,0.046196,795.466
94,0,0.001,8.16742,2000,3.38997,3.07107,2.97008,3.45307,515,481,1854,1731.6,6,6,1499.32,30.0505,64.507,700,700,0.2255,451,0.00239644,4.79288,5.69,11380,80,-0.607879,-2.61315e-10,0.965412,0.0516992,803.906
95,0,0.001,7.35573,2000,4.02467,3.5319,3.36351,4.12597,513,484,1846.8,1742.4,8,8,1719.47,29.109,57.949,700,700,0.222,444,0.0016388,3.2776,4.916,9832,80,-0.283208,5.3238e-10,0.981181,0.0454931,811.513
96,0,0.001,9.22693,2000,3.06674,2.80771,2.83886,3.11698,511,477,1839.6,1717.2,6,5,1506.83,27.8115,65.736,700,700,0.2235,447,0.00193547,3.87095,6.1585,12317,79,-0.549568,3.24934e-10,0.968019,0.0535114,821.014
97,0,0.001,7.78209,2000,3.88085,3.51712,3.39375,3.95187,534,495,1922.4,1782,12,10,1409.38,19.4015,50.481,700,700,0.2175,435,0.000671007,1.34201,5.076,10152,82,-0.278634,-3.82126e-10,0.935752,0.04826,829.061
98,0,0.001,7.49828,2000,3.83458,3.45906,3.27766,3.90928,523,494,1882.8,1778.4,2,2,1488.43,25.786,56.991,700,700,0.242,484,0.0057816,11.5632,5.175,10350,79,-0.67993,3.51543e-10,0.949019,0.0459831,836.818
99,0,0.001,6.95322,2000,4.24111,3.71173,3.5133,4.34897,520,486,1872,1749.6,8,7,1421.15,28.1205,56.0365,700,700,0.223,446,0.00174457,3.48914,4.723,9446,79,-0.142875,-9.0159e-10,0.946725,0.0496809,844.033
100,0,0.001,7.48324,2000,3.82203,3.38167,3.26618,3.91057,519,484,1868.4,1742.4,8,7,1464.19,25.1205,55.985,700,700,0.222,444,0.00152711,3.05422,5.165,10330,79,-0.406213,1.5359e-09,0.951806,0.0463169,851.792
101,0,0.001,8.21623,2000,3.28149,2.97123,2.99435,3.34211,513,474,1846.8,1706.4,2,2,1258.97,28.3445,63.755,700,700,0.232,464,0.00360927,7.21855,5.785,11570,77,-0.458539,-9.87467e-10,0.954398,0.0496628,860.298
